City,Year,Domestic_Consumption,Industrial_Consumption,Commercial_Consumption,Total_Consumption
Delhi,2018,2401,2998,1250,6649
Raipur,2018,1096,4053,1938,7087
Kanpur,2017,662,1339,697,2698
Kanpur,2018,1120,2594,1470,5184
Vasai,2019,800,4115,330,5245
Hyderabad,2018,1720,4849,380,6949
Mumbai,2019,1212,3356,370,4938
Raipur,2019,1208,2698,1107,5013
Kalyan,2019,1438,1342,730,3510
Visakhapatnam,2019,2838,2201,1537,6576
Srinagar,2018,2128,3307,375,5810
Kalyan,2019,2385,1994,314,4693
Chandigarh,2017,828,4639,753,6220
Navi Mumbai,2018,872,2392,1918,5182
Ranchi,2018,2325,2879,1770,6974
Meerut,2018,2921,3425,638,6984
Ghaziabad,2018,1729,2619,610,4958
Navi Mumbai,2018,1910,4534,848,7292
Dhanbad,2018,2067,3062,1879,7008
Jabalpur,2017,2820,2577,1799,7196
Visakhapatnam,2017,1632,4982,926,7540
Dhanbad,2019,2111,1978,603,4692
Guwahati,2018,2418,1765,1947,6130
Allahabad,2019,2760,2438,641,5839
Gwalior,2017,1171,2682,1781,5634
Dhanbad,2017,923,1271,484,2678
Jodhpur,2018,2234,1094,1859,5187
Jodhpur,2019,2170,4898,1604,8672
Nashik,2019,2111,4967,1669,8747
Guwahati,2019,2532,849,1867,5248
Vadodara,2018,2228,976,1506,4710
Pune,2018,1620,3469,1871,6960
Jaipur,2017,2254,2309,303,4866
Nashik,2018,1631,4843,846,7320
Ludhiana,2019,2184,2462,403,5049
Hubli,2019,2290,4707,1953,8950
Indore,2019,2576,1177,1153,4906
Agra,2019,952,2535,1512,4999
Delhi,2018,1553,2318,1473,5344
Aurangabad,2019,1873,3166,562,5601
Varanasi,2018,1609,1897,668,4174
Lucknow,2018,562,1841,1727,4130
Navi Mumbai,2017,608,3922,1383,5913
Kalyan,2018,823,1793,1690,4306
Madurai,2018,2697,4022,1866,8585
Chennai,2019,1149,4844,803,6796
Nagpur,2018,1777,1473,1857,5107
Bhopal,2019,2071,1453,1388,4912
Kota,2017,1099,3263,1892,6254
Vadodara,2019,1939,2334,466,4739
Hubli,2019,922,3822,1148,5892
Lucknow,2017,1652,3216,828,5696
Jabalpur,2017,886,2717,1646,5249
Jodhpur,2019,2425,3323,444,6192
Meerut,2018,660,4944,756,6360
Jodhpur,2019,2004,3697,980,6681
Patna,2018,2039,4097,1825,7961
Howrah,2018,2546,3581,1777,7904
Jabalpur,2019,2867,1589,953,5409
Delhi,2018,564,1067,1573,3204
Aurangabad,2017,1690,4109,823,6622
Ranchi,2017,1683,2491,1644,5818
Delhi,2019,2496,1187,1523,5206
Kota,2018,721,4129,896,5746
Varanasi,2018,2736,4085,1449,8270
Amritsar,2018,1450,4154,1360,6964
Dhanbad,2019,1632,4237,797,6666
Gwalior,2017,2720,1125,828,4673
Dhanbad,2019,1879,4580,1577,8036
Nagpur,2018,2543,3569,1837,7949
Meerut,2018,2592,2664,485,5741
Jodhpur,2019,1112,911,655,2678
Rajkot,2019,815,2556,926,4297
Nagpur,2019,813,3239,1277,5329
Pune,2019,1915,3488,1050,6453
Delhi,2017,1560,3213,1182,5955
Delhi,2018,2262,4865,334,7461
Vadodara,2019,1865,1940,995,4800
Bangalore,2017,759,4691,1893,7343
Raipur,2019,574,966,1837,3377
Dhanbad,2017,2387,1868,941,5196
Ghaziabad,2017,705,1162,499,2366
Coimbatore,2017,1967,4582,354,6903
Jabalpur,2017,810,4428,1274,6512
Gwalior,2017,1490,1158,584,3232
Nashik,2019,902,1971,880,3753
Amritsar,2018,1257,965,1578,3800
Allahabad,2019,2115,1892,1799,5806
Bhopal,2018,592,2334,1870,4796
Meerut,2018,2567,3536,832,6935
Dhanbad,2018,1082,2410,457,3949
Howrah,2019,566,2076,1507,4149
Jodhpur,2017,2582,4053,1261,7896
Indore,2017,587,4734,1878,7199
Aurangabad,2019,1334,3183,663,5180
Madurai,2018,1222,2137,1114,4473
Vadodara,2019,2470,1402,1491,5363
Hyderabad,2017,1697,4849,1292,7838
Dhanbad,2017,1242,1662,1076,3980
Thane,2018,2482,1452,1829,5763
Dhanbad,2017,2944,4589,646,8179
Ahmedabad,2018,1763,4831,1577,8171
Meerut,2017,1199,3521,1728,6448
Chennai,2018,1523,2520,943,4986
Lucknow,2018,2827,4395,1104,8326
Madurai,2019,1393,3255,1322,5970
Jaipur,2017,1769,957,1214,3940
Lucknow,2018,701,1721,1346,3768
Solapur,2017,2015,3007,1304,6326
Coimbatore,2019,1394,3759,1739,6892
Navi Mumbai,2018,2229,2635,1013,5877
Faridabad,2019,2969,1971,649,5589
Kolkata,2019,2313,1751,476,4540
Jabalpur,2018,1733,2272,1317,5322
Nagpur,2019,1606,2010,1147,4763
Vadodara,2018,605,2249,1059,3913
Varanasi,2017,821,1471,1518,3810
Delhi,2019,579,2001,445,3025
Solapur,2019,981,4071,1158,6210
Vijayawada,2018,797,3876,1972,6645
Howrah,2018,2304,4255,1948,8507
Vadodara,2019,2387,4977,968,8332
Vijayawada,2018,2414,2970,1911,7295
Vasai,2017,1739,3670,1898,7307
Kanpur,2018,2278,1276,1517,5071
Hubli,2019,2837,3350,1030,7217
Ahmedabad,2017,2934,4403,1228,8565
Jodhpur,2018,2963,4786,1929,9678
Ahmedabad,2019,898,2808,1716,5422
Allahabad,2017,1943,3467,992,6402
Madurai,2019,2692,3809,1345,7846
Hubli,2019,2735,4277,711,7723
Pune,2017,2821,897,1846,5564
Rajkot,2017,2525,3218,1681,7424
Srinagar,2017,569,3139,1799,5507
Gwalior,2019,690,3438,678,4806
Navi Mumbai,2018,2403,2944,1930,7277
Visakhapatnam,2019,639,3602,751,4992
Indore,2019,2147,2975,842,5964
Jabalpur,2017,2715,3432,578,6725
Jaipur,2019,1059,4801,636,6496
Faridabad,2017,1329,1292,627,3248
Navi Mumbai,2019,687,4578,793,6058
Ghaziabad,2017,1362,4607,1681,7650
Visakhapatnam,2019,1291,4487,1490,7268
Hubli,2017,1524,2866,627,5017
Srinagar,2018,2040,2093,1401,5534
Meerut,2017,825,4625,1213,6663
Vadodara,2017,2797,4206,1594,8597
Navi Mumbai,2018,1437,3866,1120,6423
Thane,2017,1677,1259,431,3367
Agra,2017,2079,2551,1966,6596
Kalyan,2019,1599,1509,367,3475
Kalyan,2017,2722,1244,1538,5504
Indore,2019,2004,1174,1027,4205
Bhopal,2018,921,1931,310,3162
Vijayawada,2018,2249,3342,1407,6998
Vasai,2018,2466,4289,778,7533
Ludhiana,2018,1654,4978,849,7481
Chandigarh,2017,1571,1568,793,3932
Chennai,2017,2750,3350,758,6858
Gwalior,2017,1645,1251,1399,4295
Vijayawada,2018,1825,2806,1785,6416
Kota,2018,2514,1916,1308,5738
Srinagar,2018,505,2892,983,4380
Varanasi,2019,1049,2218,1939,5206
Lucknow,2017,1596,3040,1744,6380
Jabalpur,2019,2014,4805,1396,8215
Ludhiana,2018,1001,3587,1167,5755
Howrah,2019,1067,985,1386,3438
Navi Mumbai,2019,2307,1156,582,4045
Vasai,2019,658,1790,1451,3899
Hyderabad,2019,1827,1897,1639,5363
Howrah,2017,1303,1896,971,4170
Patna,2017,516,1392,1825,3733
Madurai,2017,1589,2883,404,4876
Vadodara,2018,2361,1034,354,3749
Solapur,2018,1677,2670,1971,6318
Gwalior,2018,2344,3767,1764,7875
Visakhapatnam,2019,790,1587,405,2782
Kota,2019,1670,3515,649,5834
Pune,2017,1806,2365,710,4881
Dhanbad,2018,905,4341,605,5851
Vasai,2017,1226,2182,404,3812
Srinagar,2018,1876,3651,1701,7228
Coimbatore,2019,2960,930,1354,5244
Jabalpur,2017,545,1356,1567,3468
Hyderabad,2019,2772,1614,1954,6340
Vijayawada,2019,2404,4661,361,7426
Faridabad,2018,774,4885,824,6483
Ghaziabad,2017,1406,4001,406,5813
Varanasi,2019,1646,1619,832,4097
Delhi,2019,2984,4366,916,8266
Vasai,2017,1565,2598,999,5162
Kalyan,2019,958,818,1851,3627
Hubli,2017,1370,1113,1521,4004
Gwalior,2017,1504,3826,877,6207
Visakhapatnam,2017,1935,3399,1072,6406
Jodhpur,2018,2413,4518,1560,8491
Aurangabad,2017,2083,2267,532,4882
Jabalpur,2018,2298,4261,703,7262
Vadodara,2018,1071,1649,524,3244
Kota,2017,1889,1991,625,4505
Jabalpur,2017,1099,3362,1266,5727
Rajkot,2018,2171,4958,1683,8812
Hubli,2017,2578,4135,1944,8657
Meerut,2018,630,3171,1657,5458
Kolkata,2017,2572,1424,1593,5589
Thane,2018,2713,3345,917,6975
Faridabad,2017,699,4176,1174,6049
Ahmedabad,2018,1121,4647,617,6385
Vasai,2017,2002,4472,1101,7575
Thane,2019,1064,4405,353,5822
Amritsar,2017,2553,2800,330,5683
Thane,2018,2053,4680,1473,8206
Pune,2018,1837,2010,381,4228
Agra,2018,1767,1663,1933,5363
Ghaziabad,2018,891,3832,1143,5866
Chandigarh,2017,1387,2922,1051,5360
Solapur,2017,2130,3226,1873,7229
Kolkata,2019,960,4846,1464,7270
Madurai,2018,1443,2528,1197,5168
Nagpur,2019,2659,1037,1452,5148
Hubli,2018,2651,4071,496,7218
Madurai,2019,1144,2048,1477,4669
Nagpur,2017,2257,4980,1756,8993
Rajkot,2017,1662,2919,1380,5961
Guwahati,2018,1319,852,340,2511
Nashik,2017,1085,1203,695,2983
Pune,2017,1130,2626,848,4604
Chandigarh,2017,1210,3608,1623,6441
Ranchi,2017,562,2713,1225,4500
Amritsar,2019,2463,3803,1630,7896
Varanasi,2017,2857,3177,459,6493
Guwahati,2018,1598,3323,1255,6176
Kalyan,2019,2009,2703,1992,6704
Chennai,2017,1118,3695,1169,5982
Faridabad,2019,2186,4602,1532,8320
Vadodara,2017,1093,824,998,2915
Thane,2019,2086,1529,435,4050
Indore,2019,542,2205,1857,4604
Chennai,2019,2562,1186,978,4726
Dhanbad,2017,2499,1891,324,4714
Pune,2018,2261,2923,1211,6395
Ahmedabad,2019,1817,1037,1947,4801
Chandigarh,2019,2436,4153,1070,7659
Hubli,2019,1823,2367,1866,6056
Delhi,2018,1587,4524,1462,7573
Lucknow,2018,1311,4356,1717,7384
Varanasi,2019,2640,1545,1416,5601
Gwalior,2017,2709,2540,968,6217
Mumbai,2017,2062,1646,1606,5314
Navi Mumbai,2017,2094,874,552,3520
Pune,2019,2449,4773,1360,8582
Kota,2019,1757,2856,417,5030
Jodhpur,2017,2231,3841,1860,7932
Kolkata,2017,2416,3225,1823,7464
Guwahati,2019,2971,2873,462,6306
Visakhapatnam,2018,2420,869,1056,4345
Hyderabad,2018,1550,2016,586,4152
Visakhapatnam,2017,1110,1206,1169,3485
Guwahati,2019,562,4255,1722,6539
Kanpur,2019,2475,2044,372,4891
Bhopal,2018,1638,2095,1771,5504
Ludhiana,2019,1276,3543,1549,6368
Vadodara,2019,1187,1788,790,3765
Nagpur,2018,1753,3514,1974,7241
Ludhiana,2019,1539,1794,1223,4556
Raipur,2018,2794,4255,1338,8387
Jabalpur,2018,1791,3587,1984,7362
Madurai,2017,2827,4180,1735,8742
Lucknow,2019,1312,3329,689,5330
Vadodara,2018,2876,4990,541,8407
Gwalior,2019,1346,848,1068,3262
Rajkot,2017,1828,1589,1536,4953
Solapur,2017,2157,2542,307,5006
Navi Mumbai,2018,657,3585,1099,5341
Jaipur,2019,784,1523,931,3238
Srinagar,2019,1961,1747,368,4076
Srinagar,2018,1453,2536,1421,5410
Pune,2019,2491,1064,1001,4556
Ghaziabad,2017,1605,2621,1438,5664
Agra,2017,2751,3407,1846,8004
Kota,2019,2412,2363,474,5249
Hyderabad,2019,2606,3424,1622,7652
Guwahati,2017,1549,4365,825,6739
Navi Mumbai,2017,731,2031,1563,4325
Patna,2019,732,4472,817,6021
Amritsar,2019,1572,3293,647,5512
Pune,2017,967,1301,1517,3785
Kanpur,2018,1582,3804,1685,7071
Nagpur,2019,2508,3070,1236,6814
Dhanbad,2018,811,2950,1415,5176
Kalyan,2018,2827,3781,846,7454
Jodhpur,2017,1786,2776,463,5025
Faridabad,2017,973,3475,376,4824
Srinagar,2017,1084,2434,930,4448
Raipur,2018,1557,1188,1591,4336
Hubli,2019,739,959,1058,2756
Hyderabad,2018,630,2629,1863,5122
Vasai,2018,1361,2683,864,4908
Amritsar,2017,2825,3755,830,7410
Kota,2018,1411,4207,1691,7309
Chennai,2019,1398,4573,1263,7234
Bhopal,2017,1769,1684,1475,4928
Chandigarh,2018,2963,2682,1544,7189
Mumbai,2017,976,3037,1543,5556
Ghaziabad,2018,1205,2244,1954,5403
Jaipur,2019,1118,1715,582,3415
Navi Mumbai,2019,2563,4344,912,7819
Jabalpur,2017,1094,1983,763,3840
Pune,2019,1812,865,607,3284
Thane,2019,1967,1333,603,3903
Raipur,2017,2428,3999,1053,7480
Bangalore,2018,2498,4967,949,8414
Thane,2018,918,4072,1136,6126
Hyderabad,2017,1304,4450,1783,7537
Aurangabad,2018,2875,1617,917,5409
Agra,2019,2049,1240,987,4276
Ranchi,2018,1881,4782,899,7562
Delhi,2018,2005,866,1709,4580
Ghaziabad,2018,2393,1743,504,4640
Jaipur,2018,2747,3352,1553,7652
Kolkata,2019,1785,3056,1696,6537
Patna,2018,1838,1316,1806,4960
Lucknow,2018,629,810,1962,3401
Madurai,2019,2561,2612,348,5521
Bangalore,2018,1928,4617,1941,8486
Bhopal,2018,2000,4603,1696,8299
Kolkata,2018,837,4968,1192,6997
Kolkata,2018,2342,3936,771,7049
Hyderabad,2018,1469,3518,968,5955
Patna,2019,2293,4489,1188,7970
Chandigarh,2019,2346,1292,1015,4653
Navi Mumbai,2017,2779,1702,722,5203
Allahabad,2017,875,2123,748,3746
Dhanbad,2019,2905,2719,1844,7468
Faridabad,2019,1413,2254,899,4566
Thane,2017,2796,934,780,4510
Faridabad,2019,2200,3680,1606,7486
Gwalior,2019,2099,3799,627,6525
Bhopal,2019,2771,4274,1953,8998
Jabalpur,2018,1213,2489,1844,5546
Ghaziabad,2018,1862,3226,1228,6316
Gwalior,2017,1660,3251,463,5374
Solapur,2019,1650,4806,898,7354
Hubli,2018,2629,2978,1335,6942
Ludhiana,2017,1570,1912,928,4410
Thane,2018,1604,3648,1112,6364
Jabalpur,2018,1413,1203,1470,4086
Srinagar,2018,1922,1756,1011,4689
Nashik,2018,2598,3475,1154,7227
Visakhapatnam,2019,2184,1865,837,4886
Dhanbad,2019,1774,4410,903,7087
Kolkata,2017,2565,3904,1169,7638
Kanpur,2018,745,2747,1349,4841
Kota,2017,716,3644,1627,5987
Chennai,2019,2626,1033,966,4625
Bangalore,2017,1291,2700,757,4748
Pune,2017,1652,2950,1158,5760
Nagpur,2017,1209,1952,1506,4667
Solapur,2019,2089,3630,1848,7567
Rajkot,2019,2112,2761,1446,6319
Howrah,2019,2605,2123,764,5492
Raipur,2017,2469,4317,1781,8567
Ghaziabad,2018,1820,3860,1932,7612
Bangalore,2019,2335,3549,1212,7096
Chandigarh,2018,1290,4919,1093,7302
Gwalior,2017,1296,1655,920,3871
Vadodara,2018,751,1982,660,3393
Pune,2017,1605,2664,1888,6157
Solapur,2019,1269,3769,1906,6944
Aurangabad,2017,1357,3032,811,5200
Rajkot,2019,1683,858,1059,3600
Coimbatore,2017,2625,4906,1654,9185
Vijayawada,2017,2037,1725,416,4178
Hyderabad,2018,2421,3095,1396,6912
Pune,2019,2757,4218,1094,8069
Delhi,2018,1684,4603,1924,8211
Ghaziabad,2017,1096,1014,1658,3768
Vijayawada,2018,1155,1246,512,2913
Jodhpur,2017,527,3110,1130,4767
Chennai,2017,2381,1193,1824,5398
Hyderabad,2017,1274,3143,811,5228
Gwalior,2017,1347,4131,1013,6491
Coimbatore,2019,2296,4720,1828,8844
Navi Mumbai,2018,1304,1265,1517,4086
Dhanbad,2017,2404,3207,1778,7389
Aurangabad,2017,1016,2123,1696,4835
Patna,2018,1415,1724,1529,4668
Amritsar,2018,2141,3529,1207,6877
Howrah,2018,659,4143,1418,6220
Jabalpur,2017,889,4949,1517,7355
Howrah,2017,1216,2381,322,3919
Vasai,2019,741,4765,1760,7266
Bangalore,2018,1870,1670,1050,4590
Visakhapatnam,2017,1654,4670,1623,7947
Bhopal,2018,2063,4139,1395,7597
Nagpur,2017,999,1603,1400,4002
Coimbatore,2019,1179,4089,1557,6825
Mumbai,2018,1040,4991,1410,7441
Gwalior,2017,922,1017,913,2852
Nashik,2019,821,2309,974,4104
Guwahati,2018,2318,1879,1454,5651
Raipur,2017,2402,2625,1180,6207
Ludhiana,2018,1405,4521,1585,7511
Gwalior,2017,1596,3419,783,5798
Aurangabad,2017,2235,3832,1239,7306
Dhanbad,2018,2948,1652,680,5280
Jaipur,2018,1284,4047,936,6267
Kota,2017,2561,1309,1669,5539
Mumbai,2019,1563,4438,1820,7821
Indore,2017,640,4955,974,6569
Guwahati,2017,1637,3025,1578,6240
Nashik,2018,2360,1034,1351,4745
Agra,2017,2146,3491,1162,6799
Indore,2019,2754,2717,1655,7126
Jabalpur,2019,2657,4021,375,7053
Patna,2018,1116,4682,1699,7497
Vijayawada,2018,1913,4744,1283,7940
Kolkata,2018,2153,2917,1059,6129
Hyderabad,2019,2629,2464,450,5543
Jaipur,2017,2062,2366,612,5040
Srinagar,2017,1781,2982,1750,6513
Vadodara,2018,1268,1607,1078,3953
Navi Mumbai,2019,742,1403,1536,3681
Jaipur,2018,2625,4449,1000,8074
Thane,2018,1449,2269,1720,5438
Chennai,2017,1609,1153,406,3168
Chandigarh,2017,620,1826,1675,4121
Solapur,2019,2124,1745,672,4541
Coimbatore,2018,2026,2457,1535,6018
Allahabad,2017,1688,4653,606,6947
Vadodara,2019,2308,2951,1453,6712
Vasai,2018,2001,949,1030,3980
Hubli,2018,2945,4538,1838,9321
Allahabad,2019,2117,2402,726,5245
Coimbatore,2019,1559,4731,688,6978
Agra,2019,2502,4962,1023,8487
Amritsar,2018,1121,2726,1276,5123
Patna,2017,1895,1380,690,3965
Kanpur,2019,1933,4302,363,6598
Kolkata,2018,2732,1242,1663,5637
Faridabad,2019,1785,890,1361,4036
Bhopal,2019,1752,4411,1990,8153
Raipur,2018,1755,1402,1100,4257
Jabalpur,2018,2710,1434,963,5107
Kota,2018,1455,3480,1627,6562
Madurai,2017,988,3373,1022,5383
Srinagar,2018,2051,2158,1120,5329
Srinagar,2018,1045,2434,824,4303
Srinagar,2019,1598,2370,765,4733
Solapur,2017,1003,4481,1057,6541
Ahmedabad,2019,2752,2141,901,5794
Kalyan,2018,913,2435,616,3964
Madurai,2019,2700,1895,1924,6519
Lucknow,2018,2194,1207,1267,4668
Jabalpur,2017,2238,4754,1780,8772
Hyderabad,2018,583,1925,628,3136
Coimbatore,2019,2049,1915,1470,5434
Madurai,2018,632,3188,1127,4947
Ranchi,2018,1106,3908,904,5918
Dhanbad,2017,2116,4775,745,7636
Howrah,2018,1839,4342,1116,7297
Patna,2018,1474,4136,995,6605
Howrah,2018,2413,4297,390,7100
Mumbai,2018,1181,2676,1488,5345
Ranchi,2017,2865,4871,1972,9708
Meerut,2019,1019,4492,1021,6532
Ghaziabad,2017,1599,2129,303,4031
Agra,2017,1437,3283,1771,6491
Ludhiana,2018,1923,853,1610,4386
Agra,2018,2912,1812,1126,5850
Thane,2017,1752,3916,867,6535
Lucknow,2019,1810,4465,1688,7963
Coimbatore,2019,1391,3348,988,5727
Lucknow,2019,1047,3786,1813,6646
Thane,2019,2230,2487,1977,6694
Kota,2017,1438,1565,1565,4568
Faridabad,2017,778,3781,1635,6194
Kota,2019,2774,2567,1948,7289
Ahmedabad,2017,1758,2993,1646,6397
Allahabad,2018,2129,1141,889,4159
Ghaziabad,2017,2427,4904,1402,8733
Meerut,2019,1254,3361,359,4974
Vasai,2017,1709,3164,406,5279
Patna,2018,1002,4394,1397,6793
Ludhiana,2019,2704,2406,1785,6895
Visakhapatnam,2017,2076,4425,802,7303
Kota,2019,1199,886,1996,4081
Guwahati,2018,1050,3542,713,5305
Kalyan,2018,2041,2649,937,5627
Chandigarh,2019,1795,1672,1807,5274
Bangalore,2019,973,4747,1994,7714
Dhanbad,2018,2624,1449,1511,5584
Rajkot,2018,1432,3891,1412,6735
Gwalior,2017,1660,4760,1981,8401
Hubli,2017,2465,1982,555,5002
Ranchi,2017,2039,979,484,3502
Srinagar,2018,2197,3197,1410,6804
Srinagar,2017,751,1664,808,3223
Faridabad,2018,861,2523,1945,5329
Rajkot,2018,2140,2485,903,5528
Patna,2018,2061,1123,428,3612
Solapur,2018,921,1062,419,2402
Ahmedabad,2017,1661,2111,1180,4952
Jabalpur,2017,749,4671,1609,7029
Coimbatore,2018,565,2852,1074,4491
Kolkata,2017,2837,2435,1748,7020
Aurangabad,2019,1204,2365,332,3901
Meerut,2017,538,1159,1925,3622
Kalyan,2017,2758,3479,1855,8092
Ranchi,2018,1844,2349,717,4910
Nashik,2018,2600,4229,1143,7972
Vadodara,2018,2883,1090,1375,5348
Delhi,2017,959,4040,1760,6759
Bangalore,2019,1053,4003,857,5913
Navi Mumbai,2019,1835,1667,1474,4976
Jabalpur,2017,1634,2727,393,4754
Coimbatore,2018,924,3029,1034,4987
Meerut,2017,2444,2346,1881,6671
Jaipur,2018,1274,4179,1596,7049
Jaipur,2017,2422,846,618,3886
Jaipur,2017,1669,3151,1486,6306
Dhanbad,2018,2171,4840,928,7939
Chennai,2018,1057,1326,1992,4375
Jodhpur,2019,571,4034,1235,5840
Dhanbad,2019,1482,839,1763,4084
Nashik,2018,2276,3354,428,6058
Nagpur,2018,1528,3986,1114,6628
Kota,2017,825,3724,395,4944
Gwalior,2018,977,2338,671,3986
Coimbatore,2018,2260,2685,1976,6921
Varanasi,2017,574,2186,1890,4650
Vijayawada,2017,1481,1983,1064,4528
Visakhapatnam,2018,2803,4226,854,7883
Kolkata,2017,890,1062,1257,3209
Gwalior,2019,2794,3547,1632,7973
Kalyan,2017,676,869,896,2441
Ranchi,2019,1952,4614,1777,8343
Dhanbad,2017,1407,1814,1234,4455
Patna,2018,2881,3513,451,6845
Vadodara,2019,2581,2941,1803,7325
Nagpur,2017,2335,2331,1095,5761
Ludhiana,2017,1767,4317,972,7056
Bangalore,2018,2942,3489,689,7120
Indore,2019,2571,4950,1417,8938
Bhopal,2017,1173,4884,738,6795
Mumbai,2017,607,1554,915,3076
Madurai,2017,955,1611,1612,4178
Vasai,2019,722,1764,1726,4212
Agra,2017,1495,1217,1699,4411
Vasai,2018,1640,1781,641,4062
Rajkot,2019,1904,1028,1140,4072
Thane,2019,2669,1845,954,5468
Kota,2017,1771,3903,366,6040
Coimbatore,2018,1592,4383,1556,7531
Indore,2019,1797,4345,867,7009
Bhopal,2017,1390,2102,1186,4678
Raipur,2017,2069,4398,1849,8316
Nashik,2018,2798,3221,374,6393
Ranchi,2018,1853,1950,892,4695
Kolkata,2017,2606,2190,851,5647
Allahabad,2018,1754,1710,888,4352
Dhanbad,2017,1536,809,1018,3363
Navi Mumbai,2018,2228,3643,467,6338
Vasai,2019,2604,980,1514,5098
Aurangabad,2017,1542,4476,962,6980
Dhanbad,2019,1696,3355,1564,6615
Thane,2017,1807,3936,1398,7141
Kolkata,2018,2451,3985,1035,7471
Bhopal,2019,2031,4541,820,7392
Kanpur,2019,738,4065,1009,5812
Ahmedabad,2019,2614,2805,1874,7293
Indore,2019,1409,2134,455,3998
Dhanbad,2019,790,3846,925,5561
Chandigarh,2018,1662,3154,575,5391
Patna,2019,2742,4324,758,7824
Ahmedabad,2018,984,4848,524,6356
Agra,2018,1715,1705,933,4353
Hubli,2017,1943,2104,843,4890
Navi Mumbai,2017,771,1662,1327,3760
Allahabad,2018,2645,4543,1814,9002
Hubli,2017,1159,3175,1726,6060
Jaipur,2019,2754,1915,343,5012
Ahmedabad,2019,2367,1836,1472,5675
Jaipur,2018,1467,3275,1421,6163
Delhi,2017,2344,4004,1982,8330
Vadodara,2018,2398,806,1794,4998
Nagpur,2018,2929,2828,651,6408
Lucknow,2019,1765,3344,473,5582
Navi Mumbai,2019,924,1612,564,3100
Guwahati,2017,1269,1589,1613,4471
Varanasi,2017,624,1651,332,2607
Vasai,2019,1127,3841,317,5285
Agra,2018,1387,3194,1070,5651
Kolkata,2019,2006,1770,1923,5699
Vasai,2019,2349,2960,573,5882
Chandigarh,2019,2093,4356,418,6867
Faridabad,2017,2042,2546,1110,5698
Lucknow,2018,2689,1711,913,5313
Chandigarh,2018,2300,1690,633,4623
Visakhapatnam,2019,2432,3975,907,7314
Patna,2017,2790,1448,1836,6074
Madurai,2019,1379,1758,1098,4235
Hubli,2019,2842,1963,1474,6279
Kota,2019,1047,4982,1001,7030
Rajkot,2018,2231,2736,1205,6172
Allahabad,2019,1875,1494,752,4121
Pune,2017,2950,1767,1668,6385
Gwalior,2018,2400,2115,1879,6394
Kalyan,2018,1743,4589,678,7010
Faridabad,2019,1604,1438,1773,4815
Chandigarh,2018,1875,2169,1214,5258
Chennai,2018,616,2763,1861,5240
Thane,2017,1641,3405,1314,6360
Varanasi,2018,2366,2045,1030,5441
Pune,2017,1156,1913,1012,4081
Vijayawada,2019,2833,4945,1402,9180
Visakhapatnam,2017,1808,1070,1823,4701
Ranchi,2017,1892,4393,1054,7339
Indore,2017,1193,1082,488,2763
Allahabad,2017,1392,3728,1235,6355
Solapur,2017,2127,2977,1455,6559
Kota,2017,1488,2589,1005,5082
Jabalpur,2019,1805,1437,841,4083
Jodhpur,2019,2101,4441,821,7363
Ahmedabad,2018,2093,2688,1908,6689
Gwalior,2018,1335,4019,1618,6972
Visakhapatnam,2018,1263,4721,519,6503
Bangalore,2018,2006,1286,1393,4685
Jodhpur,2018,800,939,1631,3370
Visakhapatnam,2018,2707,3763,636,7106
Chennai,2018,1495,3001,452,4948
Jodhpur,2018,1257,4922,1329,7508
Vasai,2018,1700,1366,1845,4911
Bhopal,2018,1790,3994,1388,7172
Amritsar,2019,1193,2277,1648,5118
Madurai,2018,1761,1477,699,3937
Amritsar,2018,2712,1357,1869,5938
Nagpur,2019,599,1951,718,3268
Raipur,2019,1359,3112,1405,5876
Nashik,2019,1611,3537,1331,6479
Madurai,2017,1882,1023,1771,4676
Raipur,2017,533,1647,874,3054
Thane,2019,2000,2779,1168,5947
Visakhapatnam,2019,599,1390,818,2807
Visakhapatnam,2018,1421,3807,1533,6761
Madurai,2018,2920,3409,812,7141
Solapur,2019,1613,2260,1473,5346
Chandigarh,2018,762,4283,1248,6293
Delhi,2018,2593,4400,1547,8540
Kalyan,2018,2937,4080,553,7570
Gwalior,2018,547,2000,966,3513
Rajkot,2018,2889,1068,1535,5492
Madurai,2017,2484,3028,305,5817
Agra,2017,2985,1102,339,4426
Jodhpur,2018,745,2785,481,4011
Patna,2018,1504,2115,1199,4818
Rajkot,2018,1458,1633,733,3824
Thane,2018,947,1203,1434,3584
Meerut,2018,599,3814,1684,6097
Varanasi,2019,1938,4023,586,6547
Jaipur,2017,976,4206,1841,7023
Bangalore,2019,2142,3927,1774,7843
Mumbai,2019,2027,2349,426,4802
Ludhiana,2019,2736,1855,827,5418
Srinagar,2019,2962,3141,899,7002
Hyderabad,2019,1608,2451,658,4717
Ranchi,2017,1659,1033,1722,4414
Srinagar,2017,1902,3230,1378,6510
Vasai,2017,2970,2245,1798,7013
Jabalpur,2018,1269,3793,1917,6979
Vasai,2019,1022,1309,1116,3447
Bangalore,2018,2105,1435,1126,4666
Agra,2018,512,4584,787,5883
Ludhiana,2019,1885,2810,1606,6301
Raipur,2019,1224,4018,1026,6268
Jabalpur,2017,2109,3441,1029,6579
Vijayawada,2017,2924,4846,1054,8824
Ludhiana,2018,718,888,578,2184
Solapur,2018,2745,3542,857,7144
Kanpur,2019,1350,1354,476,3180
Coimbatore,2018,2961,4191,1244,8396
Visakhapatnam,2018,2667,3487,1076,7230
